On_hourly,Off_hourly,Start_hourly,MN1_hourly,MN2_hourly,Entry_hourly,Exit_hourly,Final_Equity_$,Percent_Gain_%,Sortino_Ratio,Max_Drawdown_%,Profit_Factor,Trade_Count,PSR,Sharpe_Ratio,Batch,Phase,Curve_Optimized
10,0,313,11,3,39.5,69.5,1279.66,27.97,19.577,-7.31,1.294,19,0.6022508827965865,2.4934736507639714,1,2,False
10,0,313,11,3,38.5,69.5,1275.24,27.52,19.273,-7.31,1.292,19,0.601026392396304,2.4623572271485252,1,2,False
10,0,313,11,3,38.5,68.5,1253.71,25.37,17.468,-7.31,1.282,20,0.598633737910495,2.35567428142253,1,2,False
10,0,313,11,3,38.5,68.5,1253.71,25.37,17.468,-7.31,1.282,20,0.598633737910495,2.35567428142253,1,2,False
10,0,313,13,4,39.5,63.0,1250.58,25.06,16.749,-7.38,1.314,19,0.5970867380415276,2.369490296475581,1,2,False
10,0,313,11,3,39.5,69.0,1269.12,26.91,18.492,-7.31,1.297,20,0.6033929168712362,2.4745774960764533,2,2,False
10,0,313,11,3,39.5,69.0,1269.12,26.91,18.492,-7.31,1.297,20,0.6033929168712362,2.4745774960764533,2,2,False
10,0,313,11,3,39.5,69.0,1269.12,26.91,18.492,-7.31,1.297,20,0.6033929168712362,2.4745774960764533,2,2,False
10,0,313,11,3,39.5,69.0,1269.12,26.91,18.492,-7.31,1.297,20,0.6033929168712362,2.4745774960764533,2,2,False
10,0,313,11,3,39.5,71.0,1283.37,28.34,19.816,-7.31,1.295,19,0.6030643331960519,2.5136503747840298,2,2,False
10,0,313,11,3,39.5,69.0,1269.12,26.91,18.492,-7.31,1.297,20,0.6033929168712362,2.4745774960764533,FINAL,FINAL,False
