On_hourly,Off_hourly,Start_hourly,MN1_hourly,MN2_hourly,Entry_hourly,Exit_hourly,Final_Equity_$,Percent_Gain_%,Sortino_Ratio,Max_Drawdown_%,Profit_Factor,Trade_Count,PSR,Sharpe_Ratio,Batch,Phase,Curve_Optimized
160,0,330,5,3,26.5,53.5,1409.49,40.95,30.087,-7.97,1.623,39,0.7408572413197847,3.371318172386435,1,2,False
160,0,330,5,3,26.5,53.5,1409.49,40.95,30.087,-7.97,1.623,39,0.7408572413197847,3.371318172386435,1,2,False
160,0,330,5,3,27.0,51.5,1402.91,40.29,29.724,-8.63,1.613,40,0.7366267218739282,3.2054500858144057,1,2,False
160,0,330,5,3,27.0,52.0,1402.91,40.29,29.724,-8.63,1.613,40,0.7366267218739282,3.2054500858144057,1,2,False
160,0,330,5,3,27.0,54.0,1404.05,40.4,29.906,-8.63,1.596,39,0.7348824727650818,3.3126961224865474,1,2,False
160,0,330,5,3,25.5,54.0,1397.45,39.74,30.962,-7.97,1.622,38,0.7416393006343167,3.353421155863321,2,2,False
160,0,330,5,3,25.5,54.0,1397.45,39.74,30.962,-7.97,1.622,38,0.7416393006343167,3.353421155863321,2,2,False
160,0,330,5,3,26.5,53.5,1409.49,40.95,30.087,-7.97,1.623,39,0.7408572413197847,3.371318172386435,2,2,False
160,0,330,5,3,26.5,53.5,1409.49,40.95,30.087,-7.97,1.623,39,0.7408572413197847,3.371318172386435,2,2,False
160,0,330,5,3,25.5,51.0,1391.87,39.19,30.623,-7.97,1.631,39,0.7408008968304243,3.2081000676659275,2,2,False
160,0,330,5,3,25.5,54.0,1397.45,39.74,30.962,-7.97,1.622,38,0.7416393006343167,3.353421155863321,FINAL,FINAL,False
